District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Ashland West,AW,SH2C-N,340.5789474,0.291538462,8.410371392,284.4469608,58.58909979,8.392539521,0.143244043,1628.298972
Ashland West,AW,SH2C-P,322.3333333,0.28,6.091790471,479.1079288,66.90937822,6.632699291,0.099129591,30.78507364
Ashland West,AW,SH3A-N,376,0.542,8.974549456,292.817317,135.0294636,40.2296705,0.297932536,346.4091059
Ashland West,AW,SH3B-N,408,0.562,8.094369485,387.1705568,111.4549531,24.71486741,0.221747592,561.3612756
Ashland West,AW,SH3C-N,336.6071429,0.3624,8.833831832,290.2234923,78.0509394,16.37607721,0.209812686,2391.505983
Ashland West,AW,SH3D-N,335.6,0.374444444,7.515836975,338.2491423,73.96052758,12.62253682,0.170665857,3358.219956
Ashland West,AW,SH3D-P,358.5,0.466,6.451014628,876.606264,144.5746849,18.45844362,0.127674106,162.5065373
Ashland West,AW,SH4A-N,367.2857143,0.418571429,11.71442592,184.3970701,117.4754206,34.2209801,0.29130332,322.0360683
Ashland West,AW,SH4B-N,380.952381,0.527619048,10.81180655,324.7773029,138.5369769,35.62056627,0.257119558,1208.28456
Ashland West,AW,SH4C-N,396.6,0.398,10.60554286,317.55421,105.9622732,23.2106486,0.219046345,1480.080521
Ashland West,AW,SH4D-N,325.5185185,0.5308,9.815946094,370.5975955,78.79743874,14.10465894,0.178998952,1327.597064
Rangeley,RY,CH3B-N,386.2165142,0.2825,13.94487916,252.8345815,118.1918212,29.69083256,0.251208859,56.1700274
Rangeley,RY,CH3D-N,329.8105401,0.2825,13.94487916,415.4977813,74.19770398,11.38901937,0.153495577,35.11725355
Rangeley,RY,CS3B-N,340.4595367,0.636666667,6.872892902,281.0830471,55.41788197,11.27190733,0.203398378,15.19138344
Rangeley,RY,CS3C-N,434.0632835,0.636666667,6.872892902,221.8622512,173.0226156,43.86599124,0.2535275,38.93526574
Rangeley,RY,CS3D-N,325.9332731,0.636666667,6.872892902,169.4563797,49.3770175,9.985070824,0.20222102,31.48537074
Rangeley,RY,CS4B-N,352.4750454,0.636666667,6.872892902,225.1165873,75.69974981,17.97753167,0.237484691,39.96310937
Rangeley,RY,CS4C-N,348.5458104,0.636666667,6.872892902,265.1104602,82.6601534,17.63975694,0.21340097,62.57713573
Rangeley,RY,CS4D-N,365.7185167,0.51,7.743677663,413.5277442,157.5382158,46.74312889,0.296709777,70.28064706
Rangeley,RY,H1A-N,299.2468879,0.42,11.71211126,203.035952,55.73606515,12.65431185,0.227039921,144.2927465
Rangeley,RY,H1B-N,269.4363093,0.223333333,7.772842219,144.1930401,44.35266244,11.72111055,0.264270731,555.069589
Rangeley,RY,H1C-N,306.1828719,0.223333333,7.772842219,388.7317122,63.05711898,10.98176941,0.174155902,350.1065047
Rangeley,RY,H1D-N,378.1673361,0.3325,10.78287186,239.2752937,31.61859946,3.4133569,0.107954083,214.7947505
Rangeley,RY,H2A-N,320.3981507,0.39,10.22455794,299.8914943,49.25112345,6.520714575,0.132397276,600.0392887
Rangeley,RY,H2B-N,347.1177126,0.508333333,8.825403028,646.8296197,134.1486091,24.6974218,0.184104941,626.3156647
Rangeley,RY,H2C-N,266.5056432,0.238181818,10.87465005,157.838718,28.37253406,4.445796709,0.156693678,753.165511
Rangeley,RY,H2D-N,302.564214,0.201428571,8.119916375,238.8213056,45.887801,8.31213069,0.181140314,89.42414556
Rangeley,RY,H3A-N,349.1382891,0.55,7.240545841,275.3209811,105.8550978,29.98129587,0.283229589,5324.838007
Rangeley,RY,H3B-N,338.2325574,0.296666667,7.817803062,247.4935172,88.76452038,24.82661465,0.279690743,10319.1738
Rangeley,RY,H3C-N,347.2706395,0.394864865,9.545076949,253.5193264,74.70700891,18.68881711,0.250161496,7593.360936
Rangeley,RY,H3D-N,350.2373125,0.348348624,9.787056748,368.42967,83.33010122,17.70078565,0.212417667,2803.010231
Rangeley,RY,H4A-N,361.3060487,0.306585366,10.49047355,225.865309,100.4159527,30.10119311,0.29976505,7566.992636
Rangeley,RY,H4B-N,342.3852591,0.423709677,8.257780572,189.8106529,90.25369366,27.73278045,0.30727585,19624.39756
Rangeley,RY,H4C-N,354.2405428,0.380540541,11.15671685,293.3073537,102.8754551,28.6932423,0.278912422,1879.189878
Rangeley,RY,H4D-N,324.1123383,0.327886792,10.81652792,224.6644619,52.09910105,11.12180549,0.213474038,1168.957823
Rangeley,RY,HS1A-N,297.9388584,0.442258065,9.091383007,274.5872589,35.91895377,4.324049828,0.120383513,35.66920162
Rangeley,RY,HS1B-N,336.7081491,0.307894737,8.925478755,203.1914277,37.44367504,4.153728446,0.110932713,180.1228634
